METRO_NAME,EMPIRICAL_UNDERPRODUCTION_2012,EMPIRICAL_UNDERPRODUCTION_2013,EMPIRICAL_UNDERPRODUCTION_2014,EMPIRICAL_UNDERPRODUCTION_2015,EMPIRICAL_UNDERPRODUCTION_2016,EMPIRICAL_UNDERPRODUCTION_2017,EMPIRICAL_UNDERPRODUCTION_2018,EMPIRICAL_UNDERPRODUCTION_2019,EMPIRICAL_UNDERPRODUCTION_2021,EMPIRICAL_UNDERPRODUCTION_2022,EMPIRICAL_UNDERPRODUCTION_2023,HOUSEHOLDS_2012,HOUSEHOLDS_2013,HOUSEHOLDS_2014,HOUSEHOLDS_2015,HOUSEHOLDS_2016,HOUSEHOLDS_2017,HOUSEHOLDS_2018,HOUSEHOLDS_2019,HOUSEHOLDS_2021,HOUSEHOLDS_2022,HOUSEHOLDS_2023,HOUSING_UNITS_2012,HOUSING_UNITS_2013,HOUSING_UNITS_2014,HOUSING_UNITS_2015,HOUSING_UNITS_2016,HOUSING_UNITS_2017,HOUSING_UNITS_2018,HOUSING_UNITS_2019,HOUSING_UNITS_2021,HOUSING_UNITS_2022,HOUSING_UNITS_2023,ADJUSTED_HOUSING_UNITS_2012 ,ADJUSTED_HOUSING_UNITS_2013 ,ADJUSTED_HOUSING_UNITS_2014 ,ADJUSTED_HOUSING_UNITS_2015 ,ADJUSTED_HOUSING_UNITS_2016 ,ADJUSTED_HOUSING_UNITS_2017 ,ADJUSTED_HOUSING_UNITS_2018 ,ADJUSTED_HOUSING_UNITS_2019 ,ADJUSTED_HOUSING_UNITS_2021 ,ADJUSTED_HOUSING_UNITS_2022 ,ADJUSTED_HOUSING_UNITS_2023,UNINHABITABLE_UNITS_2012,UNINHABITABLE_UNITS_2013 ,UNINHABITABLE_UNITS_2014 ,UNINHABITABLE_UNITS_2015 ,UNINHABITABLE_UNITS_2016 ,UNINHABITABLE_UNITS_2017 ,UNINHABITABLE_UNITS_2018 ,UNINHABITABLE_UNITS_2019 ,UNINHABITABLE_UNITS_2021 ,UNINHABITABLE_UNITS_2022 ,PROBLEM_HOUSING_UNITS_2023,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,POPULATION_2021,POPULATION_2022,POPULATION_2023,MISSING_HOUSEHOLDS_2012,MISSING_HOUSEHOLDS_2013,MISSING_HOUSEHOLDS_2014,MISSING_HOUSEHOLDS_2015,MISSING_HOUSEHOLDS_2016,MISSING_HOUSEHOLDS_2017,MISSING_HOUSEHOLDS_2018,MISSING_HOUSEHOLDS_2019,MISSING_HOUSEHOLDS_2021,MISSING_HOUSEHOLDS_2022,MISSING_HOUSEHOLDS_2023,ANNUAL_PRODUCTION_2012,ANNUAL_PRODUCTION_2013,ANNUAL_PRODUCTION_2014,ANNUAL_PRODUCTION_2015,ANNUAL_PRODUCTION_2016,ANNUAL_PRODUCTION_2017,ANNUAL_PRODUCTION_2018,ANNUAL_PRODUCTION_2019,ANNUAL_PRODUCTION_2021,ANNUAL_PRODUCTION_2022,ANNUAL_PRODUCTION_2023,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2012,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2013,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2014,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2015,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2016,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2017,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2018,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2019,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2021,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2022,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_2012,UNDERPRODUCTION_SHARE_OF_UNITS_2013,UNDERPRODUCTION_SHARE_OF_UNITS_2014,UNDERPRODUCTION_SHARE_OF_UNITS_2015,UNDERPRODUCTION_SHARE_OF_UNITS_2016,UNDERPRODUCTION_SHARE_OF_UNITS_2017,UNDERPRODUCTION_SHARE_OF_UNITS_2018,UNDERPRODUCTION_SHARE_OF_UNITS_2019,UNDERPRODUCTION_SHARE_OF_UNITS_2021,UNDERPRODUCTION_SHARE_OF_UNITS_2022,UNDERPRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2012,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2013,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2014,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2015,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2016,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2017,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2018,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2019,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2021,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2022,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2023,BURDENED_2012,BURDENED_2013,BURDENED_2014,BURDENED_2015,BURDENED_2016,BURDENED_2017,BURDENED_2018,BURDENED_2019,BURDENED_2021,BURDENED_2022,BURDENED_2023,RENT_2012,RENT_2013,RENT_2014,RENT_2015,RENT_2016,RENT_2017,RENT_2018,RENT_2019,RENT_2021,RENT_2022,RENT_2023,VALUE_2012,VALUE_2013,VALUE_2014,VALUE_2015,VALUE_2016,VALUE_2017,VALUE_2018,VALUE_2019,VALUE_2021,VALUE_2022,VALUE_2023,VACATION_2012,VACATION_2013,VACATION_2014,VACATION_2015,VACATION_2016,VACATION_2017,VACATION_2018,VACATION_2019,VACATION_2021,VACATION_2022,VACATION_2023
"Bloomington, IL",-692.80,-1083.49,-609.90,-1323.00,-1052.80,-2929.14,-3092.10,-3582.15,-1999.85,-2240.05,-570.00,65744,65231,66362,66340,65644,65146,65998,65117,69263,68879,71060,70263,70463,71435,71414,71120,71896,72501,72727,74830,75281,75393,69724,69793,70290,70980,69979,71357,72390,71955,74726,74563,75183,539,670,1145,434,1141,539,111,772,104,718,210,140491,142051,141160,142450,141525,140945,134260,132031,132429,133777,132685,0,206.6330264,0,0,0,23.39008011,0,0,0,0,0,NA,200,972,-21,-294,776,605,226,1051.5,451,112,NA,0.28%,1.36%,-0.03%,-0.41%,1.08%,0.83%,0.31%,1.41%,0.60%,0.15%,-0.99%,-1.54%,-0.85%,-1.85%,-1.48%,-4.07%,-4.26%,-4.93%,-2.67%,-2.98%,-0.76%,142,186,156,213,189,257,269,277,270,279,222,NA,0.432324561,0.435284,0.439205457,0.35159855,0.393979933,0.378190721,0.325052989,0.299370002,0.467910083,0.420938952,NA,741,751,817,793,785,818,815,858,954,1013,NA,154800,157800,163000,158800,163100,168100,166800,183300,190900,211000,NA,167,165,407,863,632,513,23,NA,10,NA
"Harrisonburg, VA",-474.50,-453.49,-244.81,-30.06,-953.12,1910.19,101.29,1756.89,1340.74,-368.80,-440.18,45298,45285,47051,47600,47805,47777,47986,47098,50478,50884,50112,48922,48942,50171,51390,51885,50607,51789,50668,52913,53887,54037,48325,48173,50041,50869,51590,49936,51431,50059,52439,53797,53345,597,769,130,521,295,671,358,609,474,90,692,106565,107216,110108,109918,110398,112370,102682,103448,105121,104760,105899,273.9030179,162.1514371,373.9409305,818.0343753,420.602556,1600.321202,1092.371689,2250.462279,740.8014816,0,273.5425419,NA,20,1229,1219,495,-1278,1182,-1121,1122.5,974,150,NA,0.04%,2.45%,2.37%,0.95%,-2.53%,2.28%,-2.21%,2.12%,1.81%,0.28%,-0.97%,-0.93%,-0.49%,-0.06%,-1.84%,3.77%,0.20%,3.47%,2.53%,-0.68%,-0.81%,140,156,145,132,206,45,151,71,107,215,223,0.494865059,0.486285783,0.450195959,0.480341343,0.462698126,0.427007499,0.474705552,0.304484009,0.507114532,0.428145794,0.389109566,849,821,830,801,807,866,884,967,886,1122,1156,198200,199000,205500,198700,204800,216400,210000,222600,270000,304400,305200,2887,3077,2540,1588,1499,2824,2292,3866,1899,1458,1853
"Johnson City, TN",-3769.01,-3424.52,-1396.28,-5896.29,-5102.68,-7170.47,-5309.21,-1745.91,-495.83,-712.77,-866.98,120275,117165,119080,116541,116032,117791,119013,124017,123316,95917,98730,132709,129336,131081,131803,132457,135674,136221,137408,137025,106766,106321,130518,127289,128742,129935,130716,130957,132598,133973,133012,103640,105775,2191,2047,2339,1868,1741,4717,3623,3435,4013,3126,546,241365,240785,240581,242917,242872,244148,233531,234735,241779,187856,190189,438.320188,801.1695806,2201.640519,1591.102574,3599.73688,100.9323484,2214.418539,1913.557338,2889.875871,2108.932823,1182.401193,NA,-3373,1745,722,654,3217,547,1187,-191.5,-30259,-445,NA,-2.61%,1.33%,0.55%,0.49%,2.37%,0.40%,0.86%,-0.14%,-28.34%,-0.42%,-2.84%,-2.65%,-1.07%,-4.47%,-3.85%,-5.29%,-3.90%,-1.27%,-0.36%,-0.67%,-0.82%,219,224,163,268,262,274,264,210,202,214,224,0.446248098,0.428823076,0.454994613,0.419770261,0.392405921,0.437286081,0.356703158,0.407500449,0.399923286,0.374145991,0.416870193,634,596,682,662,664,658,702,730,773,857,934,128400,128500,129600,137800,145100,146500,158600,156400,184600,221400,239400,1774,3906,2568,2764,3159,2366,2404,1515,1698,NA,1515
"Buffalo-Cheektowaga, NY",-14888.46,-12687.72,-10806.62,-13281.06,-15236.37,-14296.60,-10973.66,-1058.79,2159.62,-872.88,-4462.53,468090,469898,470563,467992,467259,475051,480102,488953,503845,505426,502324,514385,515646,517329,517120,516399,525226,527826,526280,536603,538730,539516,509460,508795,508768,509443,509312,515779,519311,518607,530568,534764,535726,4925,6851,8561,7677,7087,9447,8515,7673,6035,3966,3790,942855,944224,944038,945069,944657,946120,912411,912544,942598,939915,936034,2930.51191,2585.121785,3685.929278,4543.185249,3289.218242,2551.282112,4028.801831,3950.055793,3514.641387,3041.731729,3641.209957,NA,1261,1683,-209,-721,8827,2600,-1546,5161.5,2127,786,NA,0.24%,0.33%,-0.04%,-0.14%,1.68%,0.49%,-0.29%,0.96%,0.39%,0.15%,-2.89%,-2.46%,-2.09%,-2.57%,-2.95%,-2.72%,-2.08%,-0.20%,0.40%,-0.16%,-0.83%,222,217,206,229,239,227,224,175,178,203,225,0.459809794,0.449544267,0.4664168,0.473163989,0.446655441,0.469315447,0.450979334,0.446461855,0.490811568,0.462649519,0.458249142,692,718,739,733,749,772,809,828,888,980,1054,123100,123400,125400,135200,142200,148900,155500,160800,192000,219300,233300,4045,2527,2744,3770,5298,4228,2892,4965,3844,3095,3609
"Gulfport-Biloxi, MS",-10866.75,-12103.59,-7154.50,-6786.65,-9330.76,-10347.94,-5375.18,-8641.90,-1414.39,-1493.07,-1393.44,125336,124520,127921,127935,126903,130766,134035,130951,138207,142040,145515,146135,145829,146653,147343,146783,151116,152120,154264,153180,154282,157861,144434,144819,145654,146117,146318,149970,150251,151000,150104,152933,156144,1701,1010,999,1226,465,1146,1869,3264,3076,1349,1717,264521,267314,270724,274116,277229,279004,274146,276484,280590,283253,284215,1870.900207,1875.625635,3983.286448,4760.567475,3561.034823,2207.39363,3941.969958,4628.141035,3402.149209,2188.501438,1866.482298,NA,-306,824,690,-560,4333,1004,2144,-542,1102,3579,NA,-0.21%,0.56%,0.47%,-0.38%,2.87%,0.66%,1.39%,-0.35%,0.71%,2.27%,-7.44%,-8.30%,-4.88%,-4.61%,-6.36%,-6.85%,-3.53%,-5.60%,-0.92%,-0.97%,-0.88%,297,301,270,270,284,289,258,283,221,226,226,0.526800259,0.440636987,0.494290969,0.43001252,0.457406403,0.466433754,0.467587368,0.453708431,0.479021908,0.470400028,0.435233622,796,813,799,819,829,848,841,907,906,1025,1034,134500,126100,128800,134200,130500,152100,147900,152700,163700,196700,204700,2900,5443,5336,8651,9173,7480,5812,4071,6553,4643,4852
"Redding, CA",-739.96,-750.55,-1397.22,-343.14,-793.61,794.21,-2569.28,-450.94,-1027.08,-2220.35,-705.96,68165,69729,68542,69799,72096,71968,68199,72714,71505,71213,72320,73740,74714,74078,75100,77089,75099,76024,77264,77100,77949,77434,73154,73966,73797,74364,76724,74807,75625,77027,76462,76994,76920,586,748,281,736,365,292,399,237,638,955,514,147428,147722,148258,147576,147475,147863,144991,145343,146502,144408,144742,800.7528438,0,410.1718874,697.0596822,218.6557304,33.15465857,1377.878244,215.5798889,337.7777909,0,264.799408,NA,974,-636,1022,1989,-1990,925,1240,-82,849,-515,NA,1.30%,-0.86%,1.36%,2.58%,-2.65%,1.22%,1.60%,-0.11%,1.09%,-0.67%,-1.00%,-1.00%,-1.89%,-0.46%,-1.03%,1.06%,-3.38%,-0.58%,-1.33%,-2.85%,-0.91%,147,159,196,149,180,104,255,190,234,274,227,0.553088803,0.57309228,0.580757708,0.478196105,0.55715889,0.554389126,0.484367121,0.419012373,0.468661733,0.468978502,0.541542321,913,893,916,919,975,984,1084,1116,1105,1152,1351,202500,209700,226900,238900,237200,248900,265000,279200,334600,355100,355100,3431,2709,3874,3170,1151,NA,3267,1418,2826,2075,2999
"Toledo, OH",-8411.31,-6419.76,-4343.44,-3858.31,-4879.20,-5668.56,-3260.90,-1997.00,1363.58,1679.90,-2801.34,260333,260120,259181,259666,265042,262088,263571,268087,273166,285054,282865,290247,290522,290567,290659,292098,292790,292881,292627,293852,304686,305835,286115,283073,281447,280664,286340,285218,284058,287719,289034,300087,301709,4132,7449,9120,9995,5758,7572,8823,4908,4818,4599,4126,529276,527730,527320,528781,525170,526097,507975,507742,510037,524327,524958,4146.708514,3359.277573,4727.152669,3958.465487,3015.90063,4149.563019,3854.808135,4029.191583,3403.121626,2343.048789,1808.959094,NA,275,45,92,1439,692,91,-254,612.5,10834,1149,NA,0.09%,0.02%,0.03%,0.49%,0.24%,0.03%,-0.09%,0.21%,3.56%,0.38%,-2.90%,-2.21%,-1.49%,-1.33%,-1.67%,-1.94%,-1.11%,-0.68%,0.46%,0.55%,-0.92%,223,206,182,191,199,198,194,194,174,174,228,0.458480363,0.490883469,0.448084177,0.431370405,0.44771804,0.392970738,0.394790056,0.401944039,0.394239624,0.448473649,0.405098218,630,651,679,695,692,709,744,760,802,882,927,114900,110900,117200,118700,129200,130700,130500,139200,155900,165200,184900,10181,948,933,1771,1049,1368,1552,10945,11046,9426,551
"Auburn-Opelika, AL",-3037.39,-1449.00,-872.73,-1042.98,19.80,-1784.05,-3087.66,629.66,-4220.10,-2666.90,-560.15,55520,56840,57880,58191,59354,58556,59336,64447,67358,52842,56777,62240,62069,63228,63823,65256,63957,66622,68938,75384,58151,60539,61336,61131,62887,63589,64898,63633,66425,68260,74946,58151,60176,904,938,341,234,358,324,197,678,438,0,363,120442,122889,126225,128401,131440,133231,128283,130406,140131,103980,106058,2.487017003,0,1181.204841,1376.638133,2472.472968,347.76411,985.2723278,1162.203094,0,0,0,NA,-171,1159,595,1433,-1299,2665,2316,3223,-17233,2388,NA,-0.28%,1.83%,0.93%,2.20%,-2.03%,4.00%,3.36%,4.28%,-29.63%,3.94%,-4.88%,-2.33%,-1.38%,-1.63%,0.03%,-2.79%,-4.63%,0.91%,-5.60%,-4.59%,-0.93%,266,208,176,200,140,229,277,138,301,290,229,0.522774919,0.487396711,0.573267001,0.507581346,0.430218397,0.454720075,0.455162449,0.456890828,0.574505754,0.519747951,0.504373575,779,782,748,840,839,804,805,765,895,973,966,155400,138100,156000,169000,163400,160700,182700,183000,203500,263900,265600,1691,2683,2265,2177,2175,5262,4328,2212,2355,1315,2304
"Gainesville, FL",-12745.45,-8857.03,-9675.06,-10745.88,-8779.28,-8050.56,-10051.64,-7285.13,-6710.72,-2866.65,-1269.47,93245,98246,97215,96428,94427,97713,97783,103023,108187,116507,121753,112502,112761,113210,113887,113918,116382,117829,119247,124141,126920,129682,112255,112527,112725,113625,113129,115602,117480,118187,122339,125823,129571,247,234,485,262,789,780,349,1060,1802,1097,111,213999,213248,218055,220876,224519,225814,213813,213734,223306,223321,224441,1525.996879,487.3004525,927.8038226,1552.112908,4953.685199,4716.938187,4529.725757,2597.824761,1935.169513,594.2846605,438.9294959,NA,259,449,677,31,2464,1447,1418,2447,2779,2762,NA,0.23%,0.40%,0.59%,0.03%,2.12%,1.23%,1.19%,1.97%,2.19%,2.13%,-11.33%,-7.85%,-8.55%,-9.44%,-7.71%,-6.92%,-8.53%,-6.11%,-5.41%,-2.26%,-0.98%,306,299,300,304,296,290,305,288,300,256,230,0.561254957,0.531787293,0.460039644,0.4989557,0.545695858,0.566458479,0.517542557,0.510802557,0.515745022,0.556225105,0.628180439,842,831,875,858,915,941,1015,972,1103,1241,1317,162000,151200,155100,164400,170400,170700,184100,191700,219500,264500,279300,1316,365,996,1756,2068,1176,1623,3994,3292,2875,2829
"Roanoke, VA",-3169.21,-2247.80,-2103.68,-3624.00,-1363.25,-1466.22,-1825.04,-2624.81,-2677.43,-1644.55,-630.30,55699,55364,56383,54580,55455,56124,54704,54443,55912,58969,59574,61986,60536,61994,61523,60859,62160,60873,60704,63386,63829,64164,61828,60380,61459,60933,59591,61153,59400,60434,62897,63562,63183,158,156,535,590,1268,1007,1473,270,489,267,981,107399,106865,109903,108018,109296,109925,104716,104307,103474,104009,104480,166.5180763,0,145.8741574,0,0,720.552307,129.299173,613.3725712,1439.972336,0,0,NA,-1450,1458,-471,-664,1301,-1287,-169,1341,443,335,NA,-2.40%,2.35%,-0.77%,-1.09%,2.09%,-2.11%,-0.28%,2.12%,0.69%,0.52%,-5.11%,-3.71%,-3.39%,-5.89%,-2.24%,-2.36%,-3.00%,-4.32%,-4.22%,-2.58%,-0.98%,272,256,245,284,217,216,248,273,284,266,231,0.415994914,0.432695005,0.409929609,0.392276618,0.433297677,0.44323769,0.462674602,0.460400751,0.384886675,0.451302808,0.392256248,710,748,807,803,767,789,894,835,863,937,1087,165700,164600,172100,172600,171400,185400,178300,191800,220900,234800,258300,4342,5136,4298,5606,5883,5839,5125,5772,4590,5432,5110
"Albany-Schenectady-Troy, NY",-18220.27,-13843.28,-15668.88,-18125.69,-17916.18,-22413.73,-18385.60,-10691.53,-5458.94,-9519.21,-4067.69,330578,335154,335224,329960,330567,336314,340610,350156,365738,367122,373486,369007,371054,372618,372814,374625,382602,382941,384063,394734,398759,401071,367767,368609,369621,369233,370607,379456,379988,382252,390872,396194,397917,1240,2445,2997,3581,4018,3146,2953,1811,3862,2565,3154,701651,701769,706795,708328,711477,716036,682362,684070,700067,704548,703168,2323.650056,2718.111532,1873.252404,4427.911283,5329.022331,3726.261395,3773.236458,3711.111111,1322.053722,1139.701447,1608.582964,NA,2047,1564,196,1811,7977,339,1122,5335.5,4025,2312,NA,0.55%,0.42%,0.05%,0.48%,2.08%,0.09%,0.29%,1.35%,1.01%,0.58%,-4.94%,-3.73%,-4.21%,-4.86%,-4.78%,-5.86%,-4.80%,-2.78%,-1.38%,-2.39%,-1.01%,269,257,258,275,276,280,280,244,236,261,232,0.429699842,0.477367898,0.430268628,0.45477529,0.447303526,0.425516189,0.430514178,0.41112976,0.441819034,0.485582385,0.447097459,864,889,931,923,931,968,998,1043,1091,1182,1293,197000,195600,196900,201000,210600,216400,217200,227000,243000,269600,284000,11373,10083,10808,10908,12112,10984,12163,13593,11195,9838,9278
"Oshkosh-Neenah, WI",-985.55,555.25,-319.15,683.80,-403.80,117.45,1070.81,-401.05,943.25,770.59,-783.17,67627,68985,69417,69636,69944,70009,71331,71239,72794,72135,71563,72239,72258,73274,73214,74093,73624,75352,75535,75988,76119,76447,72239,71879,73207,72434,73845,73392,75352,75202,75572,75572,76120,0,379,67,780,248,232,0,333,416,547,327,137872,140020,140132,140965,141948,140816,134714,135673,135628,136523,136371,233.4272034,0,0,0,0,0,1452.632811,0,77.66907513,572.2312849,186.3658662,NA,19,1016,-60,879,-469,1728,183,226.5,131,328,NA,0.03%,1.39%,-0.08%,1.19%,-0.64%,2.29%,0.24%,0.30%,0.17%,0.43%,-1.36%,0.77%,-0.44%,0.93%,-0.54%,0.16%,1.42%,-0.53%,1.24%,1.01%,-1.02%,159,83,142,98,162,129,123,186,145,157,233,0.349959558,0.431633142,0.441298951,0.427212875,0.414787221,0.417609604,0.369543061,0.376982451,0.341622096,0.408955575,0.425958873,639,661,706,695,744,738,735,795,807,863,929,144200,143400,142300,144200,146300,157800,149200,164800,186800,207200,222400,1503,1123,787,1426,1023,NA,923,NA,866,NA,NA
"Kalamazoo-Portage, MI",-1686.55,-1899.25,-2292.27,-725.88,-1301.29,-1375.97,-1703.14,-81.12,97.00,834.22,-1212.30,100789,100735,100171,101228,102335,104075,104234,103194,105642,108396,107894,107841,107712,108551,108339,109226,111184,111500,111190,112966,113624,115097,107515,107671,108384,108262,108906,111116,111225,110673,111805,113480,114501,326,41,167,77,320,68,275,517,1161,144,596,209894,210094,210453,212619,215100,216967,209717,210588,206953,208051,207662,0,0,868.7458347,1187.354963,145.6785081,439.3120773,72.53131949,2131.596015,931.3310432,474.6834631,0,NA,-129,839,-212,887,1958,316,-310,888,658,1473,NA,-0.12%,0.77%,-0.20%,0.81%,1.76%,0.28%,-0.28%,0.79%,0.58%,1.28%,-1.56%,-1.76%,-2.11%,-0.67%,-1.19%,-1.24%,-1.53%,-0.07%,0.09%,0.73%,-1.05%,170,191,208,157,185,178,206,171,191,171,234,0.509874926,0.472331286,0.477567627,0.430196896,0.481827525,0.393546164,0.446332386,0.420931701,0.469634365,0.519483812,0.454578436,672,698,711,716,746,770,799,824,898,1085,1058,131900,123700,132000,143400,151100,153800,160100,171800,208300,236300,251200,7894,6690,6019,6453,6517,5215,7095,1834,1823,968,NA
"Fayetteville, NC",-11915.05,-10814.65,-13438.52,-16493.48,-13605.97,-10597.82,-6802.02,-6255.64,-1455.12,-1660.08,-2433.82,163654,168353,166511,163912,167974,174365,173903,174551,179361,182950,180707,186925,189487,192603,193302,194975,198136,198699,199688,196036,197782,200019,185517,188347,189932,189922,192386,195892,193937,194591,192685,195739,194793,1408,1140,2671,3380,2589,2244,4762,5097,3351,2043,5226,346531,349390,352171,353977,359274,365843,349506,353119,352171,354551,356761,1681.190428,725.431862,1578.02664,1258.01994,2292.699908,2105.643621,4320.79163,4816.006608,2762.691984,1887.064267,2492.220307,NA,2562,3116,699,1673,3161,563,989,-1826,1746,2237,NA,1.35%,1.62%,0.36%,0.86%,1.60%,0.28%,0.50%,-0.93%,0.88%,1.12%,-6.37%,-5.71%,-6.98%,-8.53%,-6.98%,-5.35%,-3.42%,-3.13%,-0.74%,-0.84%,-1.22%,287,282,297,302,290,275,257,251,212,220,235,0.452087782,0.466863879,0.49428876,0.486544557,0.464285171,0.488525067,0.493350637,0.475538814,0.45297968,0.472176887,0.465003932,855,826,857,888,862,870,926,940,1036,1095,1220,127500,132200,125900,127800,134600,138100,138700,144800,169900,206900,216900,744,1141,463,294,804,366,531,776,699,846,707
"Fort Smith, AR-OK",-1148.71,-1920.53,-1710.53,-1663.99,-500.03,-2142.02,-1868.50,-281.26,849.65,-890.34,-1134.07,75477,73710,72354,73601,74383,75512,74769,75955,74295,83198,81578,80961,80649,81586,81569,82787,83517,82572,84563,81626,90938,90168,80830,80453,79443,80810,80431,81812,81765,82308,80205,89488,87807,131,196,2143,759,2356,1705,807,2255,1421,1450,2361,148982,148143,151215,150887,152248,153404,151153,152697,149337,165760,165932,409.9447066,1082.82719,1676.919081,1776.147703,1741.737631,364.1680053,1322.906049,2165.707502,2899.908827,1180.721188,967.6442978,NA,-312,937,-17,1218,730,-945,1991,-1468.5,9312,-770,NA,-0.39%,1.15%,-0.02%,1.47%,0.87%,-1.14%,2.35%,-1.80%,10.24%,-0.85%,-1.42%,-2.38%,-2.10%,-2.04%,-0.60%,-2.56%,-2.26%,-0.33%,1.04%,-0.98%,-1.26%,163,210,207,215,166,220,233,179,154,227,236,0.449994565,0.393620307,0.459326113,0.406463998,0.369011916,0.436901914,0.387122636,0.389027834,0.358443129,0.391846623,0.386577312,582,604,639,637,654,627,679,707,698,765,857,98600,105800,106700,108400,103600,114800,120000,126200,140400,167000,181900,2687,2480,2571,2482,1743,1909,3228,1092,NA,1474,1764
"Columbia, SC",-8864.48,-9820.13,-7661.00,-4454.95,-7570.68,-7008.29,-9098.86,-7929.57,-323.56,-6202.44,-4643.11,294040,296310,298603,302633,309018,309762,315094,317998,334316,318564,323580,330955,331836,333652,339890,343775,348553,354659,356389,364597,347973,353084,324139,327797,330253,333053,339783,344422,349636,351659,359900,344412,349676,6816,4039,3399,6837,3992,4131,5023,4730,4697,3561,3408,634190,642806,651391,663847,666357,672421,648825,650417,659027,622948,632564,6221.448282,6525.118782,8627.472973,10317.52471,7374.68949,11584.39175,9227.081453,9363.364313,8137.756953,3540.338931,5022.750588,NA,881,1816,6238,3885,4778,6106,1730,4104,-16624,5111,NA,0.27%,0.54%,1.84%,1.13%,1.37%,1.72%,0.49%,1.13%,-4.78%,1.45%,-2.68%,-2.96%,-2.30%,-1.31%,-2.20%,-2.01%,-2.57%,-2.22%,-0.09%,-1.78%,-1.32%,211,235,216,190,216,202,240,228,194,246,237,0.467283163,0.439706295,0.473154429,0.470943053,0.449830737,0.467663035,0.468570546,0.471296197,0.470055717,0.523128241,0.51912045,792,828,857,857,893,891,946,920,986,1115,1169,139800,138900,140800,147500,146800,156600,156800,164700,185800,218300,239600,6828,6697,7279,6196,5665,6678,4465,6853,7400,4817,4344
"Norwich-New London, CT",-3841.95,-1547.10,-3213.64,-5065.02,1019.36,-1116.88,-2490.31,-2871.33,528.90,305.30,-1643.31,105801,106886,105504,105378,105112,107229,108098,109752,110951,115606,114156,115709,115760,116103,117906,115948,117429,118319,119849,117673,122105,123856,114933,114764,115421,116718,112877,114634,118008,118876,116980,121081,123045,776,996,682,1188,3071,2795,311,973,693,1024,811,227831,228234,228292,228450,226782,226510,212669,212620,215529,224361,225412,0,939.6173954,1360.154654,958.1690389,3360.721186,882.5382313,1918.845701,728.6408083,962.2408424,0,1464.65876,NA,51,343,1803,-1958,1481,890,1530,-1088,4432,1751,NA,0.04%,0.30%,1.53%,-1.69%,1.26%,0.75%,1.28%,-0.92%,3.63%,1.41%,-3.32%,-1.34%,-2.77%,-4.30%,0.88%,-0.95%,-2.10%,-2.40%,0.45%,0.25%,-1.33%,237,171,231,263,106,166,227,231,176,191,238,0.512793848,0.425967416,0.443968594,0.52534675,0.414691077,0.452253173,0.44492417,0.437249597,0.451965962,0.486308075,0.497202675,958,1015,1003,1061,1048,1048,1115,1140,1202,1202,1348,248200,241100,234900,240900,242000,239400,238400,255400,289400,323600,323700,5445,5176,4832,3674,5884,6065,5319,4449,5505,5174,3185
